image_idx,ground_truth_idx,ground_truth_label,correct_log_prob,correct_log_prob_norm,correct_n_tokens,correct_rank,top1_label,top1_log_prob_norm,generated_text
26,3,tiger shark,-1.52490234375,-0.762451171875,2,1,tiger shark,-0.762451171875,tiger shark
27,4,hammerhead shark,-1.19232177734375,-0.3974405924479167,3,1,hammerhead shark,-0.3974405924479167,hammerhead shark
28,9,ostrich,-4.251739501953125,-2.1258697509765625,2,1,ostrich,-2.1258697509765625,ostrich
29,6,stingray,-2.715850830078125,-0.9052836100260416,3,1,stingray,-0.9052836100260416,stingray
30,7,cock,-0.03399658203125,-0.03399658203125,1,1,cock,-0.03399658203125,cock
31,5,electric ray,-14.244140625,-7.1220703125,2,7,stingray,-1.174102783203125,stingray
32,8,hen,-0.004589080810546875,-0.004589080810546875,1,1,hen,-0.004589080810546875,hen
33,7,cock,-2.126953125,-2.126953125,1,2,hen,-0.1429443359375,hen
34,3,tiger shark,-1.3974609375,-0.69873046875,2,1,tiger shark,-0.69873046875,tiger shark
35,1,goldfish,-0.0214691162109375,-0.01073455810546875,2,1,goldfish,-0.01073455810546875,goldfish
36,8,hen,-0.01422882080078125,-0.01422882080078125,1,1,hen,-0.01422882080078125,hen
37,1,goldfish,-0.020618438720703125,-0.010309219360351562,2,1,goldfish,-0.010309219360351562,goldfish
38,9,ostrich,-4.258819580078125,-2.1294097900390625,2,1,ostrich,-2.1294097900390625,ostrich
39,9,ostrich,-4.2803802490234375,-2.1401901245117188,2,1,ostrich,-2.1401901245117188,ostrich
40,2,great white shark,-1.2365665435791016,-0.4121888478597005,3,1,great white shark,-0.4121888478597005,great white shark
41,1,goldfish,-0.023782730102539062,-0.011891365051269531,2,1,goldfish,-0.011891365051269531,goldfish
42,5,electric ray,-14.9140625,-7.45703125,2,8,tench,-0.20727837085723877,tench
43,1,goldfish,-0.079498291015625,-0.0397491455078125,2,1,goldfish,-0.0397491455078125,goldfish
44,0,tench,-0.0077866315841674805,-0.0038933157920837402,2,1,tench,-0.0038933157920837402,tench
45,9,ostrich,-4.40924072265625,-2.204620361328125,2,1,ostrich,-2.204620361328125,ostrich
46,9,ostrich,-4.3624420166015625,-2.1812210083007812,2,1,ostrich,-2.1812210083007812,ostrich
47,5,electric ray,-13.0400390625,-6.52001953125,2,7,stingray,-1.1964111328125,stingray
48,5,electric ray,-11.22625732421875,-5.613128662109375,2,7,stingray,-2.0748697916666665,electric ray
49,7,cock,-0.0199432373046875,-0.0199432373046875,1,1,cock,-0.0199432373046875,cock
50,5,electric ray,-13.64453125,-6.822265625,2,7,stingray,-1.2196451822916667,stingray
51,7,cock,-0.036376953125,-0.036376953125,1,1,cock,-0.036376953125,cock
52,3,tiger shark,-1.323394775390625,-0.6616973876953125,2,1,tiger shark,-0.6616973876953125,tiger shark
53,6,stingray,-4.94287109375,-1.6476236979166667,3,1,stingray,-1.6476236979166667,stingray
54,1,goldfish,-0.0557861328125,-0.02789306640625,2,1,goldfish,-0.02789306640625,goldfish
55,3,tiger shark,-3.5869140625,-1.79345703125,2,2,great white shark,-0.8092447916666666,great white shark
56,2,great white shark,-3.9640846252441406,-1.3213615417480469,3,1,great white shark,-1.3213615417480469,great white shark
57,8,hen,-0.09564208984375,-0.09564208984375,1,1,hen,-0.09564208984375,hen
58,1,goldfish,-0.0367889404296875,-0.01839447021484375,2,1,goldfish,-0.01839447021484375,goldfish
59,2,great white shark,-1.3423881530761719,-0.4474627176920573,3,1,great white shark,-0.4474627176920573,great white shark
60,1,goldfish,-0.01667308807373047,-0.008336544036865234,2,1,goldfish,-0.008336544036865234,goldfish
61,0,tench,-0.0014591217041015625,-0.0007295608520507812,2,1,tench,-0.0007295608520507812,tench
62,8,hen,-0.0088043212890625,-0.0088043212890625,1,1,hen,-0.0088043212890625,hen
63,2,great white shark,-1.4545326232910156,-0.4848442077636719,3,1,great white shark,-0.4848442077636719,great white shark
64,9,ostrich,-4.2912445068359375,-2.1456222534179688,2,1,ostrich,-2.1456222534179688,ostrich
65,4,hammerhead shark,-1.22259521484375,-0.40753173828125,3,1,hammerhead shark,-0.40753173828125,hammerhead shark
66,9,ostrich,-4.3445892333984375,-2.1722946166992188,2,1,ostrich,-2.1722946166992188,ostrich
67,1,goldfish,-0.0831451416015625,-0.04157257080078125,2,1,goldfish,-0.04157257080078125,goldfish
68,2,great white shark,-1.5926227569580078,-0.5308742523193359,3,1,great white shark,-0.5308742523193359,great white shark
69,9,ostrich,-4.421485900878906,-2.210742950439453,2,1,ostrich,-2.210742950439453,ostrich
70,3,tiger shark,-0.9182281494140625,-0.45911407470703125,2,1,tiger shark,-0.45911407470703125,tiger shark
71,9,ostrich,-4.1663360595703125,-2.0831680297851562,2,1,ostrich,-2.0831680297851562,ostrich
72,5,electric ray,-15.533203125,-7.7666015625,2,7,stingray,-1.2137502034505208,stingray
73,6,stingray,-2.7254638671875,-0.9084879557291666,3,1,stingray,-0.9084879557291666,stingray
74,5,electric ray,-14.673828125,-7.3369140625,2,7,stingray,-1.1987508138020833,stingray
75,3,tiger shark,-1.293701171875,-0.6468505859375,2,1,tiger shark,-0.6468505859375,tiger shark
76,1,goldfish,-0.037853240966796875,-0.018926620483398438,2,1,goldfish,-0.018926620483398438,goldfish
77,1,goldfish,-0.0581817626953125,-0.02909088134765625,2,1,goldfish,-0.02909088134765625,goldfish
78,1,goldfish,-0.021027565002441406,-0.010513782501220703,2,1,goldfish,-0.010513782501220703,goldfish
79,4,hammerhead shark,-3.18408203125,-1.0613606770833333,3,1,hammerhead shark,-1.0613606770833333,great white shark
80,0,tench,-0.005282759666442871,-0.0026413798332214355,2,1,tench,-0.0026413798332214355,tench
81,8,hen,-0.016510009765625,-0.016510009765625,1,1,hen,-0.016510009765625,hen
82,8,hen,-0.0042877197265625,-0.0042877197265625,1,1,hen,-0.0042877197265625,hen
83,2,great white shark,-2.4645462036132812,-0.8215154012044271,3,1,great white shark,-0.8215154012044271,great white shark
84,6,stingray,-3.5469970703125,-1.1823323567708333,3,1,stingray,-1.1823323567708333,stingray
85,3,tiger shark,-1.16162109375,-0.580810546875,2,1,tiger shark,-0.580810546875,tiger shark
86,9,ostrich,-4.3427276611328125,-2.1713638305664062,2,1,ostrich,-2.1713638305664062,ostrich
87,9,ostrich,-4.3741607666015625,-2.1870803833007812,2,1,ostrich,-2.1870803833007812,ostrich
88,5,electric ray,-11.236366271972656,-5.618183135986328,2,4,stingray,-3.0348307291666665,electric ray
89,2,great white shark,-1.1830825805664062,-0.39436086018880206,3,1,great white shark,-0.39436086018880206,great white shark
90,9,ostrich,-4.3599853515625,-2.17999267578125,2,1,ostrich,-2.17999267578125,ostrich
91,4,hammerhead shark,-1.0113525390625,-0.3371175130208333,3,1,hammerhead shark,-0.3371175130208333,hammerhead shark
92,5,electric ray,-12.302734375,-6.1513671875,2,7,stingray,-1.131103515625,stingray
93,0,tench,-0.0018231868743896484,-0.0009115934371948242,2,1,tench,-0.0009115934371948242,tench
94,7,cock,-0.044189453125,-0.044189453125,1,1,cock,-0.044189453125,cock
95,1,goldfish,-0.023532867431640625,-0.011766433715820312,2,1,goldfish,-0.011766433715820312,goldfish
96,0,tench,-0.001730799674987793,-0.0008653998374938965,2,1,tench,-0.0008653998374938965,tench
97,5,electric ray,-14.46484375,-7.232421875,2,7,stingray,-1.2024332682291667,stingray
98,5,electric ray,-11.219589233398438,-5.609794616699219,2,5,tench,-3.1680636405944824,electric ray
99,6,stingray,-4.4873046875,-1.4957682291666667,3,1,stingray,-1.4957682291666667,electric ray
